machine_id,lifespan_class,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],timestamp
MCH-S-01,short,H,300.326,311.803,1570.441,55.78,13.067,2026-02-01T09:18:00
MCH-S-01,short,H,300.579,312.011,1562.908,56.158,13.189,2026-02-01T09:18:10
MCH-S-01,short,H,300.815,312.341,1554.18,56.02,13.374,2026-02-01T09:18:20
MCH-S-01,short,H,301.094,312.699,1550.576,56.615,13.527,2026-02-01T09:18:30
MCH-S-01,short,H,301.202,312.89,1552.841,56.159,13.617,2026-02-01T09:18:40
MCH-S-01,short,H,301.374,313.038,1559.577,56.913,13.77,2026-02-01T09:18:50
MCH-S-01,short,H,301.527,313.135,1562.807,57.178,13.909,2026-02-01T09:19:00
MCH-S-01,short,H,301.765,313.213,1570.782,57.565,14.082,2026-02-01T09:19:10
MCH-S-01,short,H,302.043,313.638,1566.23,57.453,14.265,2026-02-01T09:19:20
MCH-S-01,short,H,302.29,314.088,1569.704,57.529,14.417,2026-02-01T09:19:30
MCH-S-01,short,H,302.595,314.317,1563.99,57.758,14.603,2026-02-01T09:19:40
MCH-S-01,short,H,302.944,314.574,1568.397,57.269,14.723,2026-02-01T09:19:50
MCH-S-01,short,H,303.402,315.057,1574.807,57.594,14.862,2026-02-01T09:20:00
MCH-S-01,short,H,303.645,315.466,1560.413,57.795,15.064,2026-02-01T09:20:10
MCH-S-01,short,H,304.055,315.736,1555.207,58.427,15.241,2026-02-01T09:20:20
MCH-S-01,short,H,304.472,316.291,1548.229,58.851,15.397,2026-02-01T09:20:30
MCH-S-01,short,H,304.851,316.866,1556.439,58.768,15.555,2026-02-01T09:20:40
MCH-S-01,short,H,305.116,317.319,1550.803,59.108,15.725,2026-02-01T09:20:50
MCH-S-01,short,H,305.568,317.671,1554.436,59.711,15.961,2026-02-01T09:21:00
MCH-S-01,short,H,306.01,318.018,1559.906,60.548,16.169,2026-02-01T09:21:10
MCH-S-01,short,H,306.409,318.315,1567.752,60.819,16.293,2026-02-01T09:21:20
MCH-S-01,short,H,306.846,318.737,1578.503,60.901,16.534,2026-02-01T09:21:30
MCH-S-01,short,H,307.237,319.477,1590.934,61.064,16.661,2026-02-01T09:21:40
MCH-S-01,short,H,307.619,319.671,1591.248,61.524,16.925,2026-02-01T09:21:50
MCH-S-01,short,H,308.17,319.989,1597.914,62.312,17.104,2026-02-01T09:22:00
MCH-S-01,short,H,308.821,320.462,1609.465,62.514,17.27,2026-02-01T09:22:10
MCH-S-01,short,H,309.244,320.856,1612.768,62.553,17.426,2026-02-01T09:22:20
MCH-S-01,short,H,309.878,321.234,1630.26,63.163,17.561,2026-02-01T09:22:30
MCH-S-01,short,H,310.273,321.774,1653.354,63.221,17.71,2026-02-01T09:22:40
MCH-S-01,short,H,310.679,322.22,1657.614,63.993,17.877,2026-02-01T09:22:50
MCH-S-01,short,H,311.174,322.615,1669.793,64.676,18.068,2026-02-01T09:23:00
MCH-S-01,short,H,311.577,322.861,1695.531,65.293,18.262,2026-02-01T09:23:10
MCH-S-01,short,H,312.045,323.513,1714.789,66.137,18.51,2026-02-01T09:23:20
MCH-S-01,short,H,312.486,323.869,1727.193,66.777,18.714,2026-02-01T09:23:30
MCH-S-01,short,H,312.968,324.303,1743.635,67.051,18.818,2026-02-01T09:23:40
MCH-S-01,short,H,313.43,324.769,1763.482,67.526,18.943,2026-02-01T09:23:50
MCH-S-01,short,H,314.144,325.072,1777.209,68.777,19.052,2026-02-01T09:24:00
MCH-S-01,short,H,314.482,325.618,1791.184,69.965,19.241,2026-02-01T09:24:10
MCH-S-01,short,H,314.873,326.052,1814.307,70.5,19.358,2026-02-01T09:24:20
MCH-S-01,short,H,315.399,331.255,1678.12,78.784,19.542,2026-02-01T09:24:30
MCH-S-01,short,H,315.954,331.615,1705.514,79.643,19.734,2026-02-01T09:24:40
MCH-S-01,short,H,316.543,332.186,1735.561,80.403,19.894,2026-02-01T09:24:50
MCH-S-01,short,H,317.053,332.699,1760.481,81.064,20.136,2026-02-01T09:25:00
MCH-S-01,short,H,317.488,333.335,1777.127,81.297,20.19,2026-02-01T09:25:10
MCH-S-01,short,H,317.886,334.01,1788.629,81.786,20.326,2026-02-01T09:25:20
MCH-S-01,short,H,318.361,334.689,1809.121,82.653,20.458,2026-02-01T09:25:30
MCH-S-01,short,H,318.753,335.297,1837.27,83.204,20.66,2026-02-01T09:25:40
MCH-S-01,short,H,319.382,335.848,1862.369,83.757,20.895,2026-02-01T09:25:50
MCH-S-01,short,H,319.821,336.455,1880.283,84.292,21.012,2026-02-01T09:26:00
MCH-S-01,short,H,320.0,336.62,1892.318,85.327,21.176,2026-02-01T09:26:10
MCH-S-01,short,H,320.0,337.125,1900.0,86.316,21.396,2026-02-01T09:26:20
MCH-S-01,short,H,320.0,337.505,1900.0,86.595,21.604,2026-02-01T09:26:30
MCH-S-01,short,H,320.0,338.028,1900.0,87.196,21.795,2026-02-01T09:26:40
MCH-S-01,short,H,320.0,338.523,1900.0,87.732,21.991,2026-02-01T09:26:50
MCH-S-01,short,H,320.0,338.985,1900.0,88.322,22.106,2026-02-01T09:27:00
MCH-S-01,short,H,320.0,339.43,1900.0,89.194,22.271,2026-02-01T09:27:10
MCH-S-01,short,H,320.0,339.835,1900.0,90.0,22.36,2026-02-01T09:27:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,22.566,2026-02-01T09:27:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,22.738,2026-02-01T09:27:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,22.955,2026-02-01T09:27:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,23.166,2026-02-01T09:28:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,23.299,2026-02-01T09:28:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,23.482,2026-02-01T09:28:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,23.714,2026-02-01T09:28:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,23.917,2026-02-01T09:28:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.085,2026-02-01T09:28:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.285,2026-02-01T09:29:00
